"Län","Gröda","Variabel","Tabelluppgift","2021","2022","2023","2024","2025"
"03 Uppsala län","Höstrågvete","Areal, hektar","Värde",650,680,510,290,900
"03 Uppsala län","Höstrågvete","Totalskörd, ton","Värde",..,..,..,..,5500
"03 Uppsala län","Vårrågvete","Areal, hektar","Värde",60,50,310,150,170
"03 Uppsala län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Blandsäd","Areal, hektar","Värde",720,640,540,870,630
"03 Uppsala län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Majs","Areal, hektar","Värde",..,..,..,0,..
"03 Uppsala län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Spannmål totalt","Areal, hektar","Värde",83260,81360,81830,81750,82570
"03 Uppsala län","Spannmål totalt","Totalskörd, ton","Värde",413200,436700,300100,372600,521600
"03 Uppsala län","Ärter","Areal, hektar","Värde",4510,5280,6720,5830,5680
"03 Uppsala län","Ärter","Totalskörd, ton","Värde",13300,18500,12400,18700,22000
"03 Uppsala län","Åkerbönor","Areal, hektar","Värde",920,1370,1300,820,800
"03 Uppsala län","Åkerbönor","Totalskörd, ton","Värde",2200,3800,1900,..,..
"03 Uppsala län","Höstraps","Areal, hektar","Värde",3730,3900,3810,1240,3490
"03 Uppsala län","Höstraps","Totalskörd, ton","Värde",12900,8000,8400,4900,14600
"03 Uppsala län","Vårraps","Areal, hektar","Värde",1730,3710,3530,4690,4480
"03 Uppsala län","Vårraps","Totalskörd, ton","Värde",3700,10400,8400,11500,11400
"03 Uppsala län","Höstrybs","Areal, hektar","Värde",340,90,190,..,80
"03 Uppsala län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Vårrybs","Areal, hektar","Värde",..,..,..,60,40
"03 Uppsala län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",750,1170,2320,1450,1170
"03 Uppsala län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",..,..,6400,..,..
"03 Uppsala län","Majs till grönfoder","Areal, hektar","Värde",30,60,150,270,360
"03 Uppsala län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",260,580,530,520,440
"03 Uppsala län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Oljelin","Areal, hektar","Värde",140,340,230,80,50
"03 Uppsala län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Matpotatis","Areal, hektar","Värde",110,110,100,100,140
"03 Uppsala län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Potatis för stärkelse","Areal, hektar","Värde",..,..,..,..,..
"03 Uppsala län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"03 Uppsala län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"03 Uppsala län","Slåttervall, första skörd","Areal, hektar","Värde",36940,39810,33870,34390,36900
"03 Uppsala län","Slåttervall, första skörd","Totalskörd, ton","Värde",115000,136000,72000,105400,125100
"03 Uppsala län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"03 Uppsala län","Slåttervall, återväxt","Totalskörd, ton","Värde",66300,102600,88400,61600,87800
"03 Uppsala län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"03 Uppsala län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",181400,238600,160400,167000,212800
"04 Södermanlands län","Höstvete","Areal, hektar","Värde",32280,32270,33710,30470,34010
"04 Södermanlands län","Höstvete","Totalskörd, ton","Värde",210200,215400,150600,186200,227500
"04 Södermanlands län","Vårvete","Areal, hektar","Värde",1510,1650,2000,2610,2080
"04 Södermanlands län","Vårvete","Totalskörd, ton","Värde",2700,6800,4200,7200,8400
"04 Södermanlands län","Råg","Areal, hektar","Värde",590,320,410,260,280
"04 Södermanlands län","Råg","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Höstkorn","Areal, hektar","Värde",640,540,450,380,420
"04 Södermanlands län","Höstkorn","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Vårkorn","Areal, hektar","Värde",8580,8830,9030,11800,9260
"04 Södermanlands län","Vårkorn","Totalskörd, ton","Värde",23500,41900,25600,45100,40900
"04 Södermanlands län","Havre","Areal, hektar","Värde",6530,5750,5050,5910,5160
"04 Södermanlands län","Havre","Totalskörd, ton","Värde",19400,24100,11800,19600,23100
"04 Södermanlands län","Rågvete","Areal, hektar","Värde",3900,4190,4090,2820,3860
"04 Södermanlands län","Rågvete","Totalskörd, ton","Värde",19900,23900,15600,15300,22600
"04 Södermanlands län","Höstrågvete","Areal, hektar","Värde",3740,4050,3940,2800,3790
"04 Södermanlands län","Höstrågvete","Totalskörd, ton","Värde",19300,23300,15500,15300,22300
"04 Södermanlands län","Vårrågvete","Areal, hektar","Värde",170,140,150,..,60
"04 Södermanlands län","Vårrågvete","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Blandsäd","Areal, hektar","Värde",400,630,180,480,560
"04 Södermanlands län","Blandsäd","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Majs","Areal, hektar","Värde",..,..,0,0,10
"04 Södermanlands län","Majs","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Spannmål totalt","Areal, hektar","Värde",54420,54180,54930,54740,55640
"04 Södermanlands län","Spannmål totalt","Totalskörd, ton","Värde",283400,319500,211700,278800,329100
"04 Södermanlands län","Ärter","Areal, hektar","Värde",1110,990,1380,1690,1280
"04 Södermanlands län","Ärter","Totalskörd, ton","Värde",2100,3400,2600,4900,4400
"04 Södermanlands län","Åkerbönor","Areal, hektar","Värde",910,830,740,710,600
"04 Södermanlands län","Åkerbönor","Totalskörd, ton","Värde",..,2700,..,..,..
"04 Södermanlands län","Höstraps","Areal, hektar","Värde",4560,5120,4610,2850,4250
"04 Södermanlands län","Höstraps","Totalskörd, ton","Värde",14900,14100,9800,10000,16600
"04 Södermanlands län","Vårraps","Areal, hektar","Värde",410,1020,890,1790,1380
"04 Södermanlands län","Vårraps","Totalskörd, ton","Värde",..,2500,..,4200,3300
"04 Södermanlands län","Höstrybs","Areal, hektar","Värde",150,..,..,..,..
"04 Södermanlands län","Höstrybs","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Vårrybs","Areal, hektar","Värde",..,30,..,..,..
"04 Södermanlands län","Vårrybs","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Areal, hektar","Värde",2040,750,2860,1090,1180
"04 Södermanlands län","Stråsädesgrödor (exkl. majs) till grönfoder","Totalskörd, ton","Värde",2800,..,5800,1900,..
"04 Södermanlands län","Majs till grönfoder","Areal, hektar","Värde",180,180,160,210,220
"04 Södermanlands län","Majs till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Andra ettåriga grödor till grönfoder","Areal, hektar","Värde",100,70,330,100,170
"04 Södermanlands län","Andra ettåriga grödor till grönfoder","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Oljelin","Areal, hektar","Värde",620,580,390,300,270
"04 Södermanlands län","Oljelin","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Matpotatis","Areal, hektar","Värde",40,40,30,40,40
"04 Södermanlands län","Matpotatis","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Potatis för stärkelse","Areal, hektar","Värde",..,..,..,..,..
"04 Södermanlands län","Potatis för stärkelse","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Sockerbetor","Areal, hektar","Värde",..,..,..,..,..
"04 Södermanlands län","Sockerbetor","Totalskörd, ton","Värde",..,..,..,..,..
"04 Södermanlands län","Slåttervall, första skörd","Areal, hektar","Värde",35140,34150,33610,31680,37250
"04 Södermanlands län","Slåttervall, första skörd","Totalskörd, ton","Värde",90900,95400,63100,101900,96500
"04 Södermanlands län","Slåttervall, återväxt","Areal, hektar","Värde",.,.,.,.,.
"04 Södermanlands län","Slåttervall, återväxt","Totalskörd, ton","Värde",..,58700,113000,70900,98500
"04 Södermanlands län","Slåttervall, total vallskörd","Areal, hektar","Värde",.,.,.,.,.
"04 Södermanlands län","Slåttervall, total vallskörd","Totalskörd, ton","Värde",124300,154100,176100,172700,195000
"05 Östergötlands län","Höstvete","Areal, hektar","Värde",60140,61250,64070,61520,62270
"05 Östergötlands län","Höstvete","Totalskörd, ton","Värde",403400,440700,382300,412000,486500
"05 Östergötlands län","Vårvete","Areal, hektar","Värde",2010,1780,2090,2820,2590
"05 Östergötlands län","Vårvete","Totalskörd, ton","Värde",6900,8300,7000,9900,13000
